# Point1	Point2	Point3
4	5	14
14	13	4
12	3	4
4	13	12
68	67	59
59	67	58
65	64	55
55	56	65
58	67	57
57	67	66
57	65	56
66	65	57
47	57	56
48	57	47
55	46	47
47	56	55
47	39	48
47	38	39
47	46	37
37	38	47
48	39	49
39	40	49
41	50	49
49	40	41
58	57	49
49	57	48
49	59	58
50	59	49
22	14	23
22	13	14
22	21	12
12	13	22
36	45	44
44	35	36
34	35	44
44	43	34
5	6	15
14	5	15
15	6	7
7	16	15
76	67	68
76	68	77
66	67	76
76	75	66
74	82	73
74	83	82
74	75	84
84	83	74
73	64	74
64	65	74
74	65	66
66	75	74
11	3	12
11	2	3
11	10	1
1	2	11
12	21	11
21	20	11
19	10	11
11	20	19
53	62	61
53	61	52
53	54	63
63	62	53
43	44	53
52	43	53
45	54	53
53	44	45
68	59	60
69	68	60
52	61	60
60	51	52
60	59	50
50	51	60
121	129	120
121	130	129
111	110	101
101	102	111
109	100	101
101	110	109
75	76	85
84	75	85
41	40	31
31	32	41
31	40	39
39	30	31
31	22	23
23	32	31
21	22	31
31	30	21
29	28	19
19	20	29
29	20	21
21	30	29
37	28	29
29	38	37
39	38	29
29	30	39
41	32	42
32	33	42
34	43	42
42	33	34
42	50	41
42	51	50
42	43	52
52	51	42
24	32	23
24	33	32
34	33	24
24	25	34
23	14	24
14	15	24
24	15	16
16	25	24
9	18	8
18	17	8
8	16	7
8	17	16
26	18	27
26	17	18
26	25	16
16	17	26
26	27	36
36	35	26
26	35	34
34	25	26
152	144	153
152	143	144
142	143	152
152	151	142
150	149	140
140	141	150
142	151	150
150	141	142
149	148	139
140	149	139
139	148	147
147	138	139
131	140	139
139	130	131
139	138	129
129	130	139
145	136	137
137	146	145
147	146	137
137	138	147
119	110	111
111	120	119
119	118	109
109	110	119
102	101	92
93	102	92
92	100	91
92	101	100
92	83	84
92	84	93
91	82	92
82	83	92
86	76	77
86	85	76
78	86	77
87	86	78
77	68	78
78	68	69
87	78	88
88	78	79
70	78	69
79	78	70
69	60	70
70	60	61
128	136	127
128	137	136
129	138	128
138	137	128
127	118	128
118	119	128
120	129	128
128	119	120
132	141	140
132	140	131
105	104	95
95	96	105
95	86	87
87	96	95
71	62	63
63	72	71
61	62	71
71	70	61
98	99	108
108	107	98
90	99	98
98	89	90
142	141	133
141	132	133
111	102	112
102	103	112
112	121	120
112	120	111
115	114	105
105	106	115
94	102	93
94	103	102
94	95	104
94	104	103
84	85	94
93	84	94
85	86	94
86	95	94
80	72	81
80	71	72
79	70	80
70	71	80
80	81	90
90	89	80
80	88	79
80	89	88
87	88	97
97	96	87
89	98	97
88	89	97
105	96	97
97	106	105
97	98	107
97	107	106
134	135	144
144	143	134
134	143	142
142	133	134
126	135	134
134	125	126
130	121	122
131	130	122
122	132	131
122	123	132
113	104	105
105	114	113
113	112	103
103	104	113
123	122	113
114	123	113
121	112	113
113	122	121
108	117	116
116	107	108
116	115	106
106	107	116
116	117	126
126	125	116
115	116	124
124	116	125
114	115	124
124	123	114
124	134	133
125	134	124
124	133	132
132	123	124
